frame,start,end
49,19096,19103
78,19104,19111
70,19111,19118
6,19119,19126
42,19126,19133
75,19134,19141
16,19141,19148
36,19149,19156
66,19156,19163
14,19164,19171
75,19171,19178
23,19179,19186
114,19186,19193
28,19194,19201
59,19201,19208
72,19209,19216
76,19217,19224
26,19224,19231
82,19232,19239
89,19239,19246
72,19247,19254
84,19254,19261
5,19262,19269
77,19269,19276
61,19277,19284
38,19284,19291
55,19292,19299
98,19299,19306
9,19307,19314
75,19314,19321
70,19322,19329
107,19329,19336
36,19337,19344
32,19344,19351
84,19352,19359
35,19359,19367
100,19367,19374
11,19375,19382
25,19382,19389
62,19390,19397
56,19397,19404
114,19405,19412
28,19412,19419
84,19420,19427
92,19427,19434
69,19435,19442
8,19442,19449
67,19450,19457
87,19457,19464
107,19465,19472
78,19472,19479
111,19480,19487
16,19487,19494
74,19495,19502
103,19502,19509
33,19510,19517
77,19518,19525
42,19525,19532
106,19533,19540
4,19540,19547
109,19548,19555
2,19555,19562
109,19563,19570
37,19570,19577
11,19578,19585
48,19585,19592
18,19593,19600
23,19600,19607
3,19608,19615
53,19615,19622
68,19623,19630
65,19630,19637
106,19638,19645
70,19645,19652
4,19653,19660
16,19660,19668
55,19668,19675
114,19676,19683
1,19683,19690
49,19691,19698
115,19698,19705
32,19706,19713
83,19713,19720
25,19721,19728
61,19728,19735
60,19736,19743
106,19743,19750
64,19751,19758
58,19758,19765
103,19766,19773
35,19773,19780
54,19781,19788
108,19788,19795
98,19796,19803
21,19803,19810
67,19811,19818
82,19819,19826
101,19826,19833
35,19834,19841
115,19841,19848
39,19849,19856
50,19856,19863
110,19864,19871
113,19871,19878
65,19879,19886
27,19886,19893
102,19894,19901
70,19901,19908
60,19909,19916
37,19916,19923
9,19924,19931
24,19931,19938
86,19939,19946
39,19946,19953
74,19954,19961
51,19961,19969
100,19969,19976
16,19977,19984
44,19984,19991
58,19992,19999
32,19999,20006
83,20007,20014
86,20014,20021
30,20022,20029
99,20029,20036
50,20037,20044
79,20044,20051
81,20052,20059
4,20059,20066
63,20067,20074
36,20074,20081
96,20082,20089
112,20089,20096
35,20097,20104
83,20104,20111
117,20112,20119
63,20120,20127
101,20127,20134
6,20135,20142
2,20142,20149
31,20150,20157
18,20157,20164
99,20165,20172
28,20172,20179
71,20180,20187
74,20187,20194
25,20195,20202
10,20202,20209
98,20210,20217
53,20217,20224
-1,20225,20232
24,20232,20239
69,20240,20247
36,20247,20254
80,20255,20262
97,20262,20269
69,20270,20277
99,20278,20285
91,20285,20292
77,20293,20300
102,20300,20307
0,20308,20315
95,20315,20322
108,20323,20330
88,20330,20337
33,20338,20345
47,20345,20352
76,20353,20360
65,20360,20367
56,20368,20375
19,20375,20382
116,20383,20390
102,20390,20397
97,20398,20405
6,20405,20412
52,20413,20420
39,20420,20428
67,20428,20435
53,20436,20443
6,20443,20450
109,20451,20458
57,20458,20465
1,20466,20473
102,20473,20480
54,20481,20488
1,20488,20495
58,20496,20503
78,20503,20510
52,20511,20518
61,20518,20525
83,20526,20533
29,20533,20540
73,20541,20548
12,20548,20555
105,20556,20563
6,20563,20570
95,20571,20578
109,20579,20586
88,20586,20593
42,20594,20601
90,20601,20608
33,20609,20616
101,20616,20623
14,20624,20631
102,20631,20638
91,20639,20646
71,20646,20653
8,20654,20661
48,20661,20668
83,20669,20676
80,20676,20683
7,20684,20691
114,20691,20698
49,20699,20706
13,20706,20713
86,20714,20721
16,20721,20729
27,20729,20736
106,20737,20744
37,20744,20751
97,20752,20759
16,20759,20766
103,20767,20774
33,20774,20781
24,20782,20789
84,20789,20796
63,20797,20804
7,20804,20811
109,20812,20819
32,20819,20826
100,20827,20834
102,20834,20841
95,20842,20849
14,20849,20856
86,20857,20864
16,20864,20871
11,20872,20879
95,20880,20887
95,20887,20894
38,20895,20902
54,20902,20909
51,20910,20917
114,20917,20924
77,20925,20932
0,20932,20939
50,20940,20947
117,20947,20954
44,20955,20962
55,20962,20969
20,20970,20977
81,20977,20984
28,20985,20992
71,20992,20999
41,21000,21007
90,21007,21014
66,21015,21022
73,21022,21030
61,21030,21037
106,21038,21045
24,21045,21052
104,21053,21060
41,21060,21067
25,21068,21075
16,21075,21082
54,21083,21090
40,21090,21097
42,21098,21105
30,21105,21112
26,21113,21120
50,21120,21127
75,21128,21135
97,21135,21142
51,21143,21150
65,21150,21157
86,21158,21165
5,21165,21172
94,21173,21180
43,21181,21188
101,21188,21195
35,21196,21203
41,21203,21210
89,21211,21218
59,21218,21225
81,21226,21233
81,21233,21240
68,21241,21248
106,21248,21255
75,21256,21263
100,21263,21270
48,21271,21278
24,21278,21285
110,21286,21293
49,21293,21300
52,21301,21308
15,21308,21315
69,21316,21323
109,21323,21331
65,21331,21338
23,21339,21346
43,21346,21353
43,21354,21361
73,21361,21368
11,21369,21376
17,21376,21383
74,21384,21391
9,21391,21398
12,21399,21406
79,21406,21413
31,21414,21421
35,21421,21428
83,21429,21436
60,21436,21443
55,21444,21451
89,21451,21458
25,21459,21466
78,21466,21473
46,21474,21481
61,21481,21489
35,21489,21496
110,21497,21504
78,21504,21511
10,21512,21519
48,21519,21526
53,21527,21534
25,21534,21541
25,21542,21549
-1,21549,21556
7,21557,21564
55,21564,21571
76,21572,21579
109,21579,21586
45,21587,21594
19,21594,21601
44,21602,21609
-1,21609,21616
104,21617,21624
95,21624,21631
3,21632,21639
99,21640,21647
57,21647,21654
4,21655,21662
106,21662,21669
80,21670,21677
106,21677,21684
59,21685,21692
0,21692,21699
94,21700,21707
19,21707,21714
43,21715,21722
11,21722,21729
91,21730,21737
101,21737,21744
37,21745,21752
98,21752,21759
20,21760,21767
109,21767,21774
5,21775,21782
68,21782,21790
66,21790,21797
29,21798,21805
95,21805,21812
36,21813,21820
102,21820,21827
109,21828,21835
22,21835,21842
35,21843,21850
98,21850,21857
40,21858,21865
86,21865,21872
14,21873,21880
76,21880,21887
48,21888,21895
8,21895,21902
115,21903,21910
81,21910,21917
69,21918,21925
98,21925,21932
64,21933,21940
97,21941,21948
4,21948,21955
13,21956,21963
25,21963,21970
96,21971,21978
11,21978,21985
43,21986,21993
107,21993,22000
14,22001,22008
74,22008,22015
57,22016,22023
0,22023,22030
17,22031,22038
34,22038,22045
67,22046,22053
44,22053,22060
61,22061,22068
81,22068,22075
83,22076,22083
78,22083,22091
84,22091,22098
43,22099,22106
25,22106,22113
36,22114,22121
80,22121,22128
26,22129,22136
7,22136,22143
31,22144,22151
75,22151,22158
95,22159,22166
44,22166,22173
92,22174,22181
64,22181,22188
81,22189,22196
5,22196,22203
94,22204,22211
14,22211,22218
59,22219,22226
64,22226,22233
50,22234,22241
114,22242,22249
42,22249,22256
9,22257,22264
5,22264,22271
1,22272,22279
104,22279,22286
12,22287,22294
90,22294,22301
82,22302,22309
105,22309,22316
72,22317,22324
89,22324,22331
77,22332,22339
18,22339,22346
44,22347,22354
86,22354,22361
17,22362,22369
52,22369,22376
80,22377,22384
19,22384,22392
109,22392,22399
62,22400,22407
86,22407,22414
65,22415,22422
111,22422,22429
38,22430,22437
68,22437,22444
69,22445,22452
8,22452,22459
4,22460,22467
85,22467,22474
64,22475,22482
70,22482,22489
23,22490,22497
1,22497,22504
43,22505,22512
13,22512,22519
67,22520,22527
82,22527,22534
79,22535,22542
93,22543,22550
10,22550,22557
101,22558,22565
89,22565,22572
49,22573,22580
20,22580,22587
61,22588,22595
8,22595,22602
33,22603,22610
50,22610,22617
28,22618,22625
25,22625,22632
59,22633,22640
44,22640,22647
55,22648,22655
15,22655,22662
43,22663,22670
95,22670,22677
65,22678,22685
116,22685,22692
110,22693,22700
117,22701,22708
82,22708,22715
64,22716,22723
117,22723,22730
112,22731,22738
3,22738,22745
117,22746,22753
89,22753,22760
5,22761,22768
74,22768,22775
61,22776,22783
59,22783,22790
7,22791,22798
104,22798,22805
98,22806,22813
38,22813,22820
100,22821,22828
111,22828,22835
1,22836,22843
38,22843,22851
75,22851,22858
116,22859,22866
56,22866,22873
85,22874,22881
86,22881,22888
97,22889,22896
13,22896,22903
48,22904,22911
69,22911,22918
20,22919,22926
42,22926,22933
39,22934,22941
76,22941,22948
28,22949,22956
89,22956,22963
107,22964,22971
14,22971,22978
99,22979,22986
67,22986,22993
47,22994,23001
102,23002,23009
88,23009,23016
51,23017,23024
36,23024,23031
76,23032,23039
83,23039,23046
101,23047,23054
111,23054,23061
25,23062,23069
87,23069,23076
37,23077,23084
11,23084,23091
32,23092,23099
83,23099,23106
78,23107,23114
